hotkey,action,description,group
j,scrollDown,Scroll down,scroll
k,scrollUp,Scroll u,scroll
J,slowScrollDown,Scroll down slowly,scroll
K,slowScrollUp,Scroll up slowly,scroll
gg,scrollToTop,Scroll to top of page,scroll
G,scrollToBottom,Scroll to bottom of page,scroll
H,historyBack,Go back in history,history
L,historyForward,Go forward in history,history
gh,showHistory,Search browser history,history
f,followLink,Follow link or button (prefix count e.g. 3f to click N times),click
F,followLinkNewTab,Follow link in new tab,click
oml,openMultiLinks,Open multiple links,click
c,followFormControl,Toggle checkbox / radio / select,click
C,followMultiClick,Click multiple elements then Enter,click
A-h,hoverElement,Hover over element,click
yv,yankText,Copy text of element,copy
yl,yankLinkUrl,Copy link URL,copy
yi,yankInputText,Copy text from input,copy
ygc,yankGoogleMapsUrl,Copy Google Maps URL for address in input,copy
ygo,openGoogleMapsUrl,Open Google Maps URL for address in input in new,copy
ymv,yankMultiText,Copy multiple elements,copy
ymi,yankMultiInputText,Copy multiple input texts,copy
yp,yankPageId,Copy WordPress page/post ID,copy
Tc,copyTableColumn,Copy table column,copy
Tmc,copyTableMultiColumn,Copy multiple table columns,copy
Sc,copySvg,Copy SVG code to clipboard,svg
Io,openImage,Open image,image
Ic,copyImage,Copy image to clipboard,image
Id,downloadImage,Download image,image
Ii,imageInfo,Show image info popup,image
Ip,copyImagePath,Copy image path,image
In,copyImageName,Copy image name,image
Ib,copyImageBasename,Copy image basename,image
ue,editUrlCurrentTab,Edit URL and open,url
uE,editUrlNewTab,Edit URL and open in new,url
gu,goUpUrl,Go one level up in URL,url
gU,goRootUrl,Go to root URL,url
ge,goExtensions,Go to chrome://extensions,url
gk,goExtensionShortcuts,Go to extension shortcuts,url
gd,goDownloads,Go to downloads,url
ga,goWpAdmin,Go to WP admin edit page,url
dc,deleteCookiesRefresh,Delete cookies for domain and refresh,url
tg,goToTab,Switch to tab in current window,tab
N,prevTab,Switch to previous tab,tab
M,nextTab,Switch to next tab,tab
>>,moveTabRight,Move tab right,tab
<<,moveTabLeft,Move tab left,tab
ty,duplicateTab,Duplicate current tab,tab
tn,newTab,Open new tab,tab
x,closeTab,Close current tab,tab
X,restoreTab,Restore last closed tab,tab
r,reloadTab,Reload current tab,tab
R,reloadTabHard,Reload tab bypassing cache,tab
tr,closeTabsRight,Close tabs to the right,tab
ta,closeTabsOthers,Close all other tabs,tab
tw,moveTabToWindow,Move tab to another window,tab
oi,openIncognito,Open current tab in in,opencognito window
sh,showSeoInfo,Show SEO meta info,seo
st,showSeoHeadings,Show heading structure (h1/h2/h3),seo
ie,inputEditStart,Focus input and place cursor at start,input
ii,inputEdit,Focus input and place cursor at end,input
ic,inputClearEdit,Clear and focus input or textarea,input
zw,zoomFitWindow,Reset zoom (fit to window),zoom
zf,zoomFull,Zoom to 100%,zoom
zi,zoomIn,Zoom in,zoom
zo,zoomOut,Zoom out,zoom
vu,speedUp,Speed up video (+0.25),video
vd,speedDown,Speed down video (-0.25),video
vq,videoQuality,Set video quality,video
vf,videoFullscreen,Toggle video fullscreen,video
vo,openVideoNewTab,Open video in new tab,video
vc,seekTimecode,Go to video timecode (HH:MM:SS),timecode
vs,saveTimecode,Save current video position as timecode,timecode
ve,exportTimecodes,Export all timecodes to JSON file,timecode
vi,importTimecodes,Import timecodes from JSON file,timecode
/,findInPage,Find in page,find
?,showHelp,Show keyboard shortcuts,dev
er,reloadExtension,Reload extension,dev
